r,eta,M,cutoff,sigma,gbs_mean,gbs_var,gbs_var_lo,gbs_var_hi,gauss_var_exact,n_pairs
0.3,1.0,1,10,0.8,0.659082633047023,0.09875541379201425,0.0812502535241043,0.11630218819781658,0.13461279774338808,100
0.3,1.0,2,7,0.8,0.5598885031542598,0.09648257005937318,0.07865181378615162,0.11311652642231473,0.06564813571474337,100
0.3,0.7,1,10,0.8,0.8434598576567532,0.04921236576540917,0.0276839532533969,0.06971816049629263,0.12406803831830565,100
0.3,0.7,2,7,0.8,0.6701524109026615,0.07687888167074665,0.059418484091526384,0.09547860676423763,0.08395316538509384,100
0.3,0.4,1,10,0.8,0.9357934875368317,0.013428933197560196,0.006042056071839589,0.021225005557872743,0.0900558444904907,100
0.3,0.4,2,7,0.8,0.8353500722233842,0.03038511611718263,0.02047095757975172,0.038037430587096896,0.08817731612989091,100
0.6,1.0,1,10,0.8,0.6919397734943296,0.0822671963671862,0.061666871032566496,0.09896551911725086,0.13044011096598618,100
0.6,1.0,2,7,0.8,0.48099165016105944,0.09747573414258945,0.08231228742803631,0.11168630187963494,0.04447714589698637,100
0.6,0.7,1,10,0.8,0.7693204460433745,0.06810005277155716,0.049059389303098236,0.08534306946006531,0.13137237908802382,100
0.6,0.7,2,7,0.8,0.6575197355542813,0.06785921087839847,0.054294716955854604,0.07943819388192208,0.07554312637739088,100
0.6,0.4,1,10,0.8,0.9208938663465243,0.01208994329453982,0.006957597003895574,0.017850201738303456,0.09713562540629184,100
0.6,0.4,2,7,0.8,0.8252916071112237,0.03495226602598804,0.023397973337731005,0.047265930583121535,0.08967029186917225,100
0.3,1.0,3,5,0.8,0.3993895029234343,0.07451682494546205,0.05868109666637852,0.09007816514695303,0.02462133936694082,100
0.3,0.7,3,5,0.8,0.6070763218699765,0.07750925081600331,0.06363650177562587,0.09569581088333112,0.0430839056568031,100
0.3,0.4,3,5,0.8,0.7894751695738559,0.04756060016942388,0.034650625960248475,0.06331665169930381,0.06493606929709997,100
0.6,1.0,3,5,0.8,0.36104880902228925,0.06226701768893179,0.046051215745451006,0.07777936855706373,0.011929127581636351,100
0.6,0.7,3,5,0.8,0.5888967980158091,0.07381063802603273,0.060666298974427796,0.09061907936651152,0.033146531150252734,100
0.6,0.4,3,5,0.8,0.7821471714845544,0.04684420728067445,0.034377757039138396,0.06229269565118976,0.06231315513083223,100
